study,trial_name,year,cultivar,location,lat,lon,state,commercial,group,ai,block,sev,yld,rust
19,FACEM,2017,M 8473 IPRO,Sorriso,-12.5407,-55.7227,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,2,6.5,3916,1
19,FACEM,2017,M 8473 IPRO,Sorriso,-12.5407,-55.7227,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,3,6.5,3842,1
19,FACEM,2017,M 8473 IPRO,Sorriso,-12.5407,-55.7227,MT,"ATIVUM + Assist (0,5L/ha)",triazole+carboxamide+strobilurin,EPOX+FLUX+PYRA,4,8,3723,1
1,Embrapa Sinop,2017,M8210 IPRO,Sinop,-11.8544,-55.5103,MT,Bravonil,Isoftalonitrilas,CLOR,1,,,0
1,Embrapa Sinop,2017,M8210 IPRO,Sinop,-11.8544,-55.5103,MT,Bravonil,Isoftalonitrilas,CLOR,2,,,0
1,Embrapa Sinop,2017,M8210 IPRO,Sinop,-11.8544,-55.5103,MT,Bravonil,Isoftalonitrilas,CLOR,3,,,0
1,Embrapa Sinop,2017,M8210 IPRO,Sinop,-11.8544,-55.5103,MT,Bravonil,Isoftalonitrilas,CLOR,4,,,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,Bravonil,Isoftalonitrilas,CLOR,1,16,5344,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,Bravonil,Isoftalonitrilas,CLOR,2,20,4643,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,Bravonil,Isoftalonitrilas,CLOR,3,22,5405,0
2,AgroCarregal,2017,CD 2728 IPRO,Rio Verde,-17.7928,-50.9196,GO,Bravonil,Isoftalonitrilas,CLOR,4,24,5078,0
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,Bravonil,Isoftalonitrilas,CLOR,1,6.0,3516,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,Bravonil,Isoftalonitrilas,CLOR,2,6.1,3792,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,Bravonil,Isoftalonitrilas,CLOR,3,7.4,3390,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,Bravonil,Isoftalonitrilas,CLOR,4,12.5,3486,1
3,Fundação MS_Bonito,2017,BMX Potência RR,Bonito,-21.1282,-56.4879,MS,Bravonil,Isoftalonitrilas,CLOR,5,9.4,3744,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,Bravonil,Isoftalonitrilas,CLOR,1,5.0,3936,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,Bravonil,Isoftalonitrilas,CLOR,2,1.8,4098,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,Bravonil,Isoftalonitrilas,CLOR,3,2.4,3960,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,Bravonil,Isoftalonitrilas,CLOR,4,2.1,3894,1
4,Fundação MS_CG,2017,NA 6700 IPRO,Campo Grande,-20.4649,-54.6218,MS,Bravonil,Isoftalonitrilas,CLOR,5,4.8,4170,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,Bravonil,Isoftalonitrilas,CLOR,1,1.7,3420,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,Bravonil,Isoftalonitrilas,CLOR,2,1.1,3564,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,Bravonil,Isoftalonitrilas,CLOR,3,2.5,3318,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,Bravonil,Isoftalonitrilas,CLOR,4,1.4,4170,1
5,Fundação MS Maracaju,2017,NA 5909 RG,Maracaju,-21.6236,-55.1603,MS,Bravonil,Isoftalonitrilas,CLOR,5,2.2,4170,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,Bravonil,Isoftalonitrilas,CLOR,1,7.0,3300.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,Bravonil,Isoftalonitrilas,CLOR,2,4.9,3510.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,Bravonil,Isoftalonitrilas,CLOR,3,6.6,3246.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,Bravonil,Isoftalonitrilas,CLOR,4,5.1,3162.0,1
6,Fundação MS Navirai,2017,BMX Potência RR,Naviraí,-23.0622,-54.2018,MS,Bravonil,Isoftalonitrilas,CLOR,5,7.2,3198.0,1
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,Bravonil,Isoftalonitrilas,CLOR,1,31.5,3088,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,Bravonil,Isoftalonitrilas,CLOR,2,32.0,2885,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,Bravonil,Isoftalonitrilas,CLOR,3,32.0,3304,0
7,CNParecis,2017,TMG 803,Campo Novo do Parecis,-13.6638,-57.8886,MT,Bravonil,Isoftalonitrilas,CLOR,4,31.0,3217,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,Bravonil,Isoftalonitrilas,CLOR,1,35.0,3319,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,Bravonil,Isoftalonitrilas,CLOR,2,35.5,2993,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,Bravonil,Isoftalonitrilas,CLOR,3,35.5,3203,0
8,Deciolandia,2017,TMG 803,Deciolândia,-14.1838,-57.5066,MT,Bravonil,Isoftalonitrilas,CLOR,4,35.0,3057,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,Bravonil,Isoftalonitrilas,CLOR,1,7.5,3552,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,Bravonil,Isoftalonitrilas,CLOR,2,5.0,4290,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,Bravonil,Isoftalonitrilas,CLOR,3,4.0,4170,0
9,Fundação Chapadão,2017,NA 5909 RG,Chapadão do Sul,-18.796,-52.6196,MS,Bravonil,Isoftalonitrilas,CLOR,4,7.5,4001,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,Bravonil,Isoftalonitrilas,CLOR,1,28.0,3083,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,Bravonil,Isoftalonitrilas,CLOR,2,25.0,3204,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,Bravonil,Isoftalonitrilas,CLOR,3,30.0,2851,0
10,Fundação Rio Verde,2017,M8210 IPRO,Lucas do Rio Verde,-13.0764,-55.9094,MT,Bravonil,Isoftalonitrilas,CLOR,4,25.0,3072,0
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,Bravonil,Isoftalonitrilas,CLOR,1,12.0,1896,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,Bravonil,Isoftalonitrilas,CLOR,2,18.0,2196,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,Bravonil,Isoftalonitrilas,CLOR,3,18.0,2570,1
11,Dalcin,2017,M8210 IPRO,Nova Xavantina,-14.6769,-52.3533,MT,Bravonil,Isoftalonitrilas,CLOR,4,15.0,2384,1
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,Bravonil,Isoftalonitrilas,CLOR,1,15.6,4221,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,Bravonil,Isoftalonitrilas,CLOR,2,14.3,3903,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,Bravonil,Isoftalonitrilas,CLOR,3,14.0,3710,0
12,UniRV,2017,TMG 2181 IPRO,Rio Verde,-17.7928,-50.9196,GO,Bravonil,Isoftalonitrilas,CLOR,4,14.3,3624,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,Bravonil,Isoftalonitrilas,CLOR,1,37.8,2460,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,Bravonil,Isoftalonitrilas,CLOR,2,21.2,2565,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,Bravonil,Isoftalonitrilas,CLOR,3,14.6,3607,0
13,Xingu,2017,TMG 2181 IPRO,Confresa,-10.6569,-51.5704,MT,Bravonil,Isoftalonitrilas,CLOR,4,11.4,3852,0
